Questions, Option1,Option2,Option3,Correct_Answers,Standard,Subject
Which Italian city has a famous leaning tower?,Venice, Pisa,Florence,Pisa,6,GK
How many players are there in a basketball team?,7,10,5,10,6,GK
Which of these was a popular musical instrument in the middle ages?, the lute ,the banjo, the xylophone,The lute,6,GK
What country has the most people living in it?, Canada,Australia,China,China,6,GK
Which one of the following river flows between Vindhyan and Satpura ranges?,Narmada,Mahanadi,Son,Narmada,6,GK
The Central Rice Research Station is situated in?,Chennai,Cuttack,Bangalore,Cuttack,7,GK
The metal whose salts are sensitive to light is?,Zinc,Silver,Copper,Silver,7,GK
What animal eats mainly eucalyptus leaves?,polar bears ,wallabies,koalas,koalas,7,GK
"Amravati, Bhavani, Hemavati and Kabini are tributaries of which one of the following rivers?", Mahanadi,Godawari, Cauvery,Cauvery,7,GK
Which of the following is related to Bharat Nirman Scheme?,Foodgrain production self sufficiency,Family welfare programme,Infrastructure development,Infrastructure development,7,GK
"Which of the following is NOT the language enshrined in the eighth schedule of the Indian Constitution, as the language of the state?", Nepali,Kashmiri,"English

",English,10,GK
Geet Govind is a famous creation of ……,Bana Bhatt,Kalidas,Jayadev,Jayadev,10,GK
Which of the following represents the Finance Commissions that have been set-up so far?,10,12,13,13,10,GK
World Trade Organization came into existence in……,1992,1993,1995,1995,10,GK
"According to the Constitution of India, which of the following is NOT one of the main organs of the Government?",Legislature,Bureaucracy,Executive,Bureaucracy,10,GK
In which year did the Cabinet Mission arrived in India?,1942,1943,1946,1946,11,GK
Which of the amendments of the following constitution was responsible for deleting the right to property from the list of fundamental rights?,43rd amendment,44th amendment,48th amendment,44th amendment,11,GK
Which of the following is the largest and the deepest ocean in8 the world?, Atlantic,Pacific,Indian,Pacific,11,GK
Which of the following is not a member of the European Union?,Greece,Finland,Norway,Norway,11,GK
Which Indian state is inhabited by ‘Jaintiya tribes’?,Arunachal Pradesh,Mizoram,Manipur,Arunachal Pradesh,11,GK
